country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,10.1,,,,,10.2,,,,,10.3,,,,,9.91,,,,,9.89,,,,,10.2,,,,,10.4,,,,,10.5,,,,,10.6,,,,,10.8,,,,,10.7,,,,,10.7,,,,,10.5,,,,,11.7,,,,,12,,,,,11.8,,,,,10.8,,,,,10.4,,,,,9.85,,,,,9.38,,,,,8.93,,,,,8.47,,,,,7.99,,,,,7.53,,,,,7.15,,,,,6.83,,,,,6.57,,,,,6.36,,,,,6.16,,,,,6,,,,,5.86
Albania,10.2,,,,,10.7,,,,,9.8,,,,,9.05,,,,,9.77,,,,,10.8,,,,,11.2,,,,,10.3,,,,,9.78,,,,,9.8,,,,,9,,,,,10.3,,,,,10,,,,,8.64,,,,,6.75,,,,,5.47,,,,,5.83,,,,,5.77,,,,,5.79,,,,,5.62,,,,,5.21,,,,,4.79,,,,,4.63,,,,,4.69,,,,,4.76,,,,,4.74,,,,,4.64,,,,,4.53,,,,,4.51,,,,,4.58,,,,,4.68
Algeria,10.8,,,,,10.3,,,,,9.57,,,,,9.22,,,,,11.2,,,,,11.1,,,,,11.3,,,,,11.1,,,,,11.2,,,,,11.8,,,,,12.2,,,,,11.8,,,,,10.2,,,,,7.65,,,,,6.79,,,,,8.32,,,,,9.57,,,,,8.61,,,,,7.57,,,,,6.69,,,,,6.26,,,,,6.27,,,,,6.45,,,,,6.48,,,,,6.18,,,,,5.75,,,,,5.47,,,,,5.38,,,,,5.43,,,,,5.45,,,,,5.38
Angola,10.4,,,,,9.89,,,,,9.26,,,,,8.93,,,,,11,,,,,10.6,,,,,10.4,,,,,10.3,,,,,10.6,,,,,10.9,,,,,10.8,,,,,10.8,,,,,10.5,,,,,10.5,,,,,10.8,,,,,11.2,,,,,11.1,,,,,10.9,,,,,10.7,,,,,10.6,,,,,10.5,,,,,10.3,,,,,10.1,,,,,9.84,,,,,9.59,,,,,9.36,,,,,9.14,,,,,8.93,,,,,8.7,,,,,8.48,,,,,8.28
Antigua and Barbuda,9.75,,,,,11.1,,,,,11.1,,,,,11.3,,,,,12.2,,,,,11.9,,,,,11.8,,,,,11.9,,,,,9.25,,,,,8.09,,,,,7.98,,,,,8.46,,,,,8.79,,,,,9.08,,,,,8.33,,,,,7.65,,,,,7.29,,,,,7.13,,,,,6.97,,,,,6.73,,,,,6.43,,,,,6.18,,,,,6,,,,,5.89,,,,,5.78,,,,,5.65,,,,,5.51,,,,,5.4,,,,,5.31,,,,,5.28,,,,,5.27
Argentina,9.02,,,,,8.45,,,,,8.44,,,,,8.86,,,,,9.06,,,,,8.89,,,,,8.37,,,,,8.31,,,,,8.77,,,,,9.77,,,,,9.09,,,,,8.93,,,,,8.73,,,,,8.22,,,,,8.16,,,,,7.94,,,,,7.8,,,,,7.51,,,,,7.22,,,,,6.96,,,,,6.72,,,,,6.51,,,,,6.32,,,,,6.14,,,,,5.97,,,,,5.82,,,,,5.7,,,,,5.59,,,,,5.51,,,,,5.43,,,,,5.35
Armenia,11.8,,,,,12.8,,,,,6.15,,,,,7.44,,,,,10.7,,,,,12.7,,,,,12.2,,,,,9.47,,,,,8.41,,,,,8.16,,,,,9.93,,,,,10.7,,,,,9.01,,,,,7.05,,,,,6.6,,,,,7.52,,,,,7.8,,,,,7.06,,,,,6.21,,,,,5.56,,,,,5.32,,,,,5.46,,,,,5.62,,,,,5.5,,,,,5.2,,,,,4.95,,,,,4.89,,,,,5.02,,,,,5.19,,,,,5.25,,,,,5.17
Australia,6.84,,,,,6.74,,,,,7.57,,,,,9.09,,,,,8.77,,,,,9.09,,,,,9.11,,,,,8.5,,,,,8.39,,,,,7.27,,,,,7.06,,,,,7.11,,,,,6.99,,,,,6.4,,,,,6.13,,,,,6.48,,,,,6.5,,,,,6.59,,,,,6.35,,,,,6.1,,,,,5.92,,,,,5.89,,,,,5.93,,,,,5.94,,,,,5.87,,,,,5.75,,,,,5.63,,,,,5.55,,,,,5.51,,,,,5.47,,,,,5.42
Austria,7.25,,,,,7.78,,,,,8.51,,,,,7.54,,,,,7.01,,,,,8.23,,,,,9.14,,,,,8.78,,,,,7.09,,,,,6.09,,,,,6.29,,,,,6.25,,,,,6.29,,,,,5.52,,,,,5,,,,,4.81,,,,,4.89,,,,,5.09,,,,,5.12,,,,,4.98,,,,,4.78,,,,,4.69,,,,,4.76,,,,,4.91,,,,,5.03,,,,,5.05,,,,,4.99,,,,,4.91,,,,,4.89,,,,,4.92,,,,,4.96
Azerbaijan,13.1,,,,,12,,,,,6.76,,,,,7.6,,,,,10.3,,,,,12.4,,,,,13.7,,,,,11.4,,,,,9.89,,,,,8.73,,,,,10.1,,,,,11.2,,,,,10.1,,,,,7.92,,,,,6.78,,,,,7.17,,,,,8.63,,,,,7.75,,,,,6.7,,,,,6.1,,,,,6.08,,,,,6.2,,,,,6.14,,,,,5.93,,,,,5.71,,,,,5.57,,,,,5.56,,,,,5.59,,,,,5.58,,,,,5.51,,,,,5.43
