country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,4.52,,,,,4.45,,,,,4.36,,,,,4.28,,,,,4.21,,,,,4.15,,,,,4.02,,,,,3.81,,,,,3.82,,,,,3.93,,,,,3.87,,,,,3.84,,,,,4.17,,,,,4.32,,,,,4.58,,,,,4.9,,,,,5.34,,,,,5.94,,,,,6.82,,,,,7.96,,,,,9.23,,,,,10.9,,,,,13.1,,,,,15.6,,,,,18.3,,,,,20.6,,,,,22.7,,,,,24.7,,,,,26.5,,,,,28.2,,,,,29.7
Albania,8.67,,,,,8.09,,,,,7.88,,,,,7.34,,,,,7.27,,,,,7.31,,,,,7.28,,,,,7.51,,,,,8.86,,,,,9.97,,,,,10.8,,,,,12.3,,,,,15.2,,,,,18.5,,,,,22.1,,,,,25.8,,,,,28.6,,,,,30.9,,,,,33.2,,,,,35.5,,,,,36.4,,,,,37.8,,,,,40.8,,,,,41.8,,,,,41.6,,,,,42,,,,,42.4,,,,,43,,,,,43.5,,,,,43.6,,,,,43.4
Algeria,5.04,,,,,4.92,,,,,5.51,,,,,5.55,,,,,5.73,,,,,5.6,,,,,5.33,,,,,5.06,,,,,5.62,,,,,5.91,,,,,6.69,,,,,7.4,,,,,8.12,,,,,9.13,,,,,10.3,,,,,11.8,,,,,13.6,,,,,15.8,,,,,18.4,,,,,21.3,,,,,23.9,,,,,25.7,,,,,26.3,,,,,26.4,,,,,27.8,,,,,30.1,,,,,31.8,,,,,33,,,,,33.8,,,,,34.4,,,,,35.1
Angola,4.85,,,,,4.64,,,,,4.57,,,,,4.54,,,,,4.55,,,,,4.58,,,,,4.57,,,,,4.5,,,,,4.63,,,,,4.43,,,,,4.23,,,,,4.05,,,,,3.9,,,,,4.23,,,,,4.48,,,,,4.72,,,,,4.95,,,,,5.26,,,,,5.66,,,,,6.09,,,,,6.59,,,,,7.15,,,,,7.79,,,,,8.62,,,,,9.63,,,,,10.7,,,,,11.7,,,,,12.9,,,,,14,,,,,15.2,,,,,16.5
Antigua and Barbuda,6.22,,,,,5.86,,,,,7.08,,,,,6.8,,,,,6.77,,,,,7.39,,,,,7.79,,,,,8.49,,,,,12,,,,,11.6,,,,,9.43,,,,,9.91,,,,,9.59,,,,,10.8,,,,,12.9,,,,,16,,,,,20.5,,,,,23.5,,,,,24.6,,,,,26.1,,,,,27.5,,,,,28.9,,,,,30,,,,,31.1,,,,,31.9,,,,,32.8,,,,,33.7,,,,,34.5,,,,,35.3,,,,,35.8,,,,,36.3
Argentina,6.56,,,,,7.31,,,,,8.25,,,,,9.3,,,,,10.3,,,,,11.2,,,,,11.7,,,,,12.2,,,,,14.5,,,,,14.9,,,,,15.3,,,,,15.7,,,,,16.4,,,,,17.2,,,,,18,,,,,18.8,,,,,19.6,,,,,20.8,,,,,22.7,,,,,24.1,,,,,25.6,,,,,27,,,,,28.2,,,,,29.5,,,,,30.7,,,,,31.8,,,,,32.9,,,,,33.9,,,,,34.8,,,,,35.6,,,,,36.4
Armenia,11.4,,,,,9.36,,,,,7.83,,,,,7.8,,,,,8.23,,,,,8.56,,,,,8.04,,,,,8.26,,,,,11.5,,,,,13.9,,,,,16.6,,,,,15.9,,,,,16.3,,,,,17.7,,,,,21,,,,,24.2,,,,,25.8,,,,,27,,,,,28.9,,,,,32.1,,,,,36.1,,,,,38.9,,,,,39.1,,,,,38.9,,,,,39.6,,,,,40.6,,,,,41,,,,,40.8,,,,,40.4,,,,,40.1,,,,,40.2
Australia,12,,,,,12.3,,,,,12.3,,,,,12.1,,,,,11.8,,,,,12.4,,,,,13,,,,,13.9,,,,,17,,,,,17.3,,,,,17.8,,,,,18.6,,,,,20,,,,,21.3,,,,,22.9,,,,,24.5,,,,,25.7,,,,,27,,,,,27.6,,,,,28.6,,,,,29.6,,,,,30.2,,,,,30.6,,,,,30.9,,,,,31.6,,,,,32.4,,,,,33.3,,,,,34.1,,,,,34.8,,,,,35.5,,,,,36.2
Austria,15.3,,,,,16.8,,,,,18.2,,,,,19.4,,,,,20.1,,,,,20.5,,,,,19.1,,,,,19.7,,,,,24.1,,,,,23.4,,,,,23.8,,,,,24.9,,,,,25.8,,,,,26.6,,,,,28.6,,,,,31.4,,,,,34.2,,,,,35.8,,,,,36.7,,,,,38,,,,,39,,,,,39.7,,,,,39.5,,,,,39.1,,,,,38.7,,,,,38.6,,,,,38.8,,,,,39,,,,,39.2,,,,,39.3,,,,,39.6
Azerbaijan,9.61,,,,,8.37,,,,,8.17,,,,,8.41,,,,,8.27,,,,,8.27,,,,,7.65,,,,,7.39,,,,,9.56,,,,,9.89,,,,,10.4,,,,,9.58,,,,,9.22,,,,,10.5,,,,,13.2,,,,,16.7,,,,,19.4,,,,,21.3,,,,,22.8,,,,,25.2,,,,,28.2,,,,,30.4,,,,,30.8,,,,,30.4,,,,,30.4,,,,,31.7,,,,,32.7,,,,,33.1,,,,,33.2,,,,,33.7,,,,,34.3
