country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,5.24,,,,,5.04,,,,,4.75,,,,,4.48,,,,,4.18,,,,,3.97,,,,,3.77,,,,,3.5,,,,,3.43,,,,,3.56,,,,,3.44,,,,,3.41,,,,,3.57,,,,,3.72,,,,,3.99,,,,,4.35,,,,,4.82,,,,,5.46,,,,,6.32,,,,,7.32,,,,,8.43,,,,,9.79,,,,,11.6,,,,,13.7,,,,,15.9,,,,,17.7,,,,,19.4,,,,,21,,,,,22.4,,,,,23.8,,,,,25.2
Albania,7.04,,,,,6.39,,,,,6.33,,,,,6.15,,,,,6.23,,,,,6.45,,,,,6.52,,,,,6.49,,,,,7.66,,,,,9.11,,,,,10.4,,,,,12.3,,,,,14.8,,,,,17.2,,,,,20.2,,,,,23,,,,,24.7,,,,,26,,,,,27.3,,,,,29.3,,,,,31.9,,,,,35.1,,,,,38.5,,,,,40.1,,,,,40.3,,,,,40.9,,,,,41.4,,,,,41.8,,,,,42.1,,,,,42.2,,,,,42.1
Algeria,5.23,,,,,5.2,,,,,5.44,,,,,5.29,,,,,5.11,,,,,4.78,,,,,4.48,,,,,4.21,,,,,4.8,,,,,5.36,,,,,6.12,,,,,6.69,,,,,7.5,,,,,8.75,,,,,9.91,,,,,11.3,,,,,12.9,,,,,14.7,,,,,17.1,,,,,19.8,,,,,22.2,,,,,24,,,,,24.6,,,,,24.9,,,,,26.3,,,,,28.8,,,,,30.6,,,,,31.9,,,,,32.7,,,,,33.3,,,,,34
Angola,4.11,,,,,3.93,,,,,3.86,,,,,3.84,,,,,3.86,,,,,3.83,,,,,3.75,,,,,3.64,,,,,3.68,,,,,3.56,,,,,3.47,,,,,3.37,,,,,3.29,,,,,3.58,,,,,3.8,,,,,4.01,,,,,4.2,,,,,4.47,,,,,4.83,,,,,5.18,,,,,5.59,,,,,6.02,,,,,6.52,,,,,7.19,,,,,8.03,,,,,8.9,,,,,9.76,,,,,10.6,,,,,11.6,,,,,12.5,,,,,13.5
Antigua and Barbuda,3.73,,,,,3.49,,,,,3.63,,,,,4.18,,,,,4.42,,,,,5.5,,,,,5.81,,,,,5.96,,,,,9.25,,,,,8.34,,,,,7.71,,,,,8.66,,,,,8.2,,,,,9.42,,,,,11.4,,,,,13.9,,,,,17.6,,,,,19.5,,,,,20.2,,,,,21.3,,,,,22.2,,,,,23.4,,,,,25.2,,,,,26.7,,,,,28.1,,,,,29.4,,,,,30.5,,,,,31.6,,,,,32.5,,,,,33.2,,,,,33.7
Argentina,6.57,,,,,7.41,,,,,8.24,,,,,8.97,,,,,9.54,,,,,9.8,,,,,10,,,,,10.2,,,,,11.5,,,,,11.6,,,,,11.7,,,,,11.9,,,,,12.3,,,,,13,,,,,13.7,,,,,14.4,,,,,15.2,,,,,16.3,,,,,18.1,,,,,19.7,,,,,21.3,,,,,22.9,,,,,24.2,,,,,25.6,,,,,26.9,,,,,28.2,,,,,29.3,,,,,30.4,,,,,31.3,,,,,32.2,,,,,33
Armenia,10.7,,,,,8.78,,,,,7.05,,,,,6.26,,,,,6.04,,,,,5.94,,,,,5.2,,,,,5.51,,,,,8.47,,,,,11.1,,,,,13.5,,,,,12.7,,,,,13.1,,,,,13.8,,,,,16.2,,,,,18.1,,,,,18.7,,,,,19.3,,,,,20.6,,,,,23,,,,,26.6,,,,,29.2,,,,,30.4,,,,,31.2,,,,,33.1,,,,,35.3,,,,,36.6,,,,,37.2,,,,,37.2,,,,,37,,,,,37
Australia,10.6,,,,,10.3,,,,,9.95,,,,,9.8,,,,,9.64,,,,,10.3,,,,,10.9,,,,,11.8,,,,,13.8,,,,,14.3,,,,,15.1,,,,,16.2,,,,,17.9,,,,,19.4,,,,,20.9,,,,,22.4,,,,,23.5,,,,,24.5,,,,,25.1,,,,,26.1,,,,,27,,,,,27.8,,,,,28.2,,,,,28.5,,,,,29.2,,,,,30,,,,,30.8,,,,,31.6,,,,,32.2,,,,,32.9,,,,,33.6
Austria,13,,,,,13.5,,,,,14.3,,,,,15.1,,,,,15.3,,,,,15,,,,,13.3,,,,,13.2,,,,,15.8,,,,,15.8,,,,,17,,,,,19.1,,,,,20.6,,,,,21.9,,,,,24.3,,,,,27.6,,,,,30.6,,,,,32.2,,,,,33.1,,,,,34.4,,,,,35.4,,,,,36.2,,,,,36.1,,,,,35.8,,,,,35.6,,,,,35.6,,,,,35.8,,,,,36.1,,,,,36.3,,,,,36.6,,,,,36.8
Azerbaijan,8.52,,,,,7.09,,,,,6.25,,,,,5.31,,,,,5,,,,,4.94,,,,,4.19,,,,,4.27,,,,,6.23,,,,,7.28,,,,,8.11,,,,,7.43,,,,,6.99,,,,,8.02,,,,,10.2,,,,,12.9,,,,,14.7,,,,,15.8,,,,,16.8,,,,,18.8,,,,,21.3,,,,,23.3,,,,,24.2,,,,,24.3,,,,,24.9,,,,,27,,,,,28.5,,,,,29.3,,,,,29.8,,,,,30.3,,,,,31
Bahamas,5.6,,,,,5.15,,,,,4.5,,,,,4.09,,,,,4.35,,,,,4.75,,,,,5.04,,,,,5,,,,,5.67,,,,,6.12,,,,,7.15,,,,,8.28,,,,,9.21,,,,,11.2,,,,,13.5,,,,,16.3,,,,,18.4,,,,,20.5,,,,,21.8,,,,,23.7,,,,,25.4,,,,,27.4,,,,,28.8,,,,,29.3,,,,,30.1,,,,,31.1,,,,,31.9,,,,,32.7,,,,,33.3,,,,,33.7,,,,,34.1
Bahrain,3.95,,,,,3.95,,,,,4.3,,,,,2.54,,,,,3.9,,,,,3.48,,,,,3.38,,,,,3.41,,,,,3.45,,,,,3.48,,,,,3.4,,,,,2.9,,,,,3.15,,,,,3.75,,,,,4.8,,,,,6.28,,,,,8.28,,,,,10.9,,,,,13.8,,,,,15.2,,,,,16.4,,,,,17.9,,,,,21.3,,,,,25.2,,,,,29,,,,,33.2,,,,,36.4,,,,,37.9,,,,,38.3,,,,,38.4,,,,,38.2
Bangladesh,5.56,,,,,4.82,,,,,4.65,,,,,4.8,,,,,4.96,,,,,5.33,,,,,5.22,,,,,4.93,,,,,5.22,,,,,5.47,,,,,6.05,,,,,6.59,,,,,6.94,,,,,7.06,,,,,7.9,,,,,9.52,,,,,11.5,,,,,13.4,,,,,15.7,,,,,18.3,,,,,20.9,,,,,23.6,,,,,26.3,,,,,29,,,,,31.2,,,,,33.1,,,,,34.8,,,,,36.1,,,,,37.1,,,,,37.8,,,,,38.2
Barbados,4.69,,,,,5.79,,,,,6.54,,,,,7.96,,,,,9.46,,,,,11.6,,,,,11.2,,,,,10.1,,,,,11.1,,,,,11.7,,,,,13,,,,,13.5,,,,,15.6,,,,,18.1,,,,,21,,,,,23.7,,,,,25.5,,,,,27,,,,,27.6,,,,,28.2,,,,,28.3,,,,,28.5,,,,,28.8,,,,,29.4,,,,,30.1,,,,,30.8,,,,,31.4,,,,,32,,,,,32.4,,,,,32.9,,,,,33.3
Belarus,9.74,,,,,9.3,,,,,8.64,,,,,8.71,,,,,9.07,,,,,9.29,,,,,8.42,,,,,8.79,,,,,12.1,,,,,13.3,,,,,14.6,,,,,13.8,,,,,14.2,,,,,15.4,,,,,17.5,,,,,19.2,,,,,19.9,,,,,20.8,,,,,21.9,,,,,23.8,,,,,25.9,,,,,26.7,,,,,26,,,,,25.4,,,,,25.6,,,,,26.7,,,,,27.7,,,,,28.4,,,,,28.7,,,,,28.9,,,,,29.2
Belgium,13.4,,,,,13.5,,,,,14,,,,,14.7,,,,,15.1,,,,,15.1,,,,,13.9,,,,,14.9,,,,,17.8,,,,,18.6,,,,,19.2,,,,,19.5,,,,,20.8,,,,,21.8,,,,,23.4,,,,,25.6,,,,,27.5,,,,,29,,,,,29.9,,,,,30.6,,,,,31,,,,,31.4,,,,,31.4,,,,,31.4,,,,,31.7,,,,,32.2,,,,,32.7,,,,,33.1,,,,,33.5,,,,,33.8,,,,,34.3
Belize,5.51,,,,,5.61,,,,,5.84,,,,,5.79,,,,,5.84,,,,,5.91,,,,,5.29,,,,,4.94,,,,,5.86,,,,,6.04,,,,,5.4,,,,,4.49,,,,,5.87,,,,,6,,,,,6.52,,,,,7.44,,,,,8.4,,,,,9.46,,,,,10.4,,,,,11.8,,,,,13.4,,,,,15.3,,,,,17.4,,,,,19.2,,,,,20.6,,,,,21.8,,,,,23.2,,,,,24.6,,,,,26,,,,,27.1,,,,,28.2
Benin,9.79,,,,,8.06,,,,,7.18,,,,,6.71,,,,,6.5,,,,,6.06,,,,,5.47,,,,,4.83,,,,,4.73,,,,,4.4,,,,,4.19,,,,,4.19,,,,,4.15,,,,,4.31,,,,,4.52,,,,,4.81,,,,,5.16,,,,,5.52,,,,,5.92,,,,,6.39,,,,,6.95,,,,,7.61,,,,,8.34,,,,,9.09,,,,,9.91,,,,,10.7,,,,,11.6,,,,,12.4,,,,,13.2,,,,,14,,,,,14.8
Bhutan,3.98,,,,,3.81,,,,,3.71,,,,,3.69,,,,,3.7,,,,,3.78,,,,,3.92,,,,,4.18,,,,,4.76,,,,,5.31,,,,,5.74,,,,,5.89,,,,,6.43,,,,,7.05,,,,,8.34,,,,,9.67,,,,,11.9,,,,,14,,,,,17.3,,,,,21.5,,,,,25.2,,,,,28.1,,,,,30.1,,,,,31.5,,,,,32.8,,,,,33.7,,,,,34.5,,,,,35.3,,,,,35.8,,,,,36.1,,,,,36.4
Bolivia,7.41,,,,,6.65,,,,,5.91,,,,,5.39,,,,,5.1,,,,,5,,,,,5,,,,,5.27,,,,,6.2,,,,,6.53,,,,,6.79,,,,,7.36,,,,,7.92,,,,,8.71,,,,,9.34,,,,,9.92,,,,,10.6,,,,,11.5,,,,,12.7,,,,,14.1,,,,,15.7,,,,,17.3,,,,,19,,,,,20.7,,,,,22.2,,,,,23.6,,,,,25,,,,,26.5,,,,,27.9,,,,,29.2,,,,,30.4
Bosnia and Herzegovina,4.75,,,,,4.49,,,,,5.12,,,,,5.98,,,,,6.69,,,,,6.42,,,,,5.76,,,,,5.83,,,,,9,,,,,12.3,,,,,14.6,,,,,15.1,,,,,16.6,,,,,19.6,,,,,22.3,,,,,25.2,,,,,26.7,,,,,28.5,,,,,30.3,,,,,32,,,,,33.9,,,,,35.6,,,,,37.5,,,,,37.6,,,,,37.7,,,,,37.5,,,,,37.4,,,,,37.5,,,,,37.6,,,,,37.5,,,,,37.5
Botswana,5.3,,,,,4.84,,,,,4.19,,,,,3.9,,,,,3.43,,,,,3.05,,,,,2.96,,,,,3.07,,,,,3.28,,,,,3.48,,,,,3.78,,,,,4.11,,,,,4.45,,,,,5.12,,,,,5.74,,,,,6.36,,,,,7.23,,,,,8.63,,,,,10.8,,,,,13.4,,,,,15.6,,,,,17.3,,,,,18.6,,,,,19.6,,,,,20.7,,,,,22.3,,,,,23.8,,,,,25,,,,,26.1,,,,,27,,,,,27.9
Brazil,4.16,,,,,4.21,,,,,4.39,,,,,4.46,,,,,4.68,,,,,4.92,,,,,4.96,,,,,5.07,,,,,5.72,,,,,6.06,,,,,6.85,,,,,7.72,,,,,8.95,,,,,10.6,,,,,12.5,,,,,14.7,,,,,16.9,,,,,19.1,,,,,21.7,,,,,24.6,,,,,27.2,,,,,29.5,,,,,31.7,,,,,33.4,,,,,34.5,,,,,35.5,,,,,36.2,,,,,36.7,,,,,37,,,,,37.2,,,,,37.4
Brunei,6.35,,,,,6.11,,,,,5.45,,,,,5.12,,,,,4.94,,,,,5.05,,,,,3.99,,,,,4.22,,,,,4.01,,,,,4.07,,,,,3.8,,,,,4.62,,,,,5.06,,,,,6.68,,,,,9.18,,,,,12.1,,,,,15.3,,,,,18.6,,,,,22,,,,,25.4,,,,,28.2,,,,,29.9,,,,,31.5,,,,,32.6,,,,,33.1,,,,,33.9,,,,,34.7,,,,,35.3,,,,,35.8,,,,,36.2,,,,,36.5
